в, PREP: 4538
красивее, COMP: 6
старость, NOUN: 6
разбираюсь, VERB: 6
гибну, VERB: 6
сжечь, INFN: 6
показываю, VERB: 6
подвержен, ADJS: 6
оболочный, ADJF: 6
оригинальный, ADJF: 6
сообщение, NOUN: 6
посаженный, PRTF: 6
размокаю, VERB: 6
степень, NOUN: 6
скорее, COMP: 6
избавил, VERB: 6
сквозь, PREP: 6
дедушка, NOUN: 6
планируюсь, VERB: 6
дабы, CONJ: 6
поднял, VERB: 6
оценил, VERB: 6
переехал, VERB: 6
краснею, VERB: 6
производить, INFN: 6
водорастворимый, ADJF: 6
сирень, NOUN: 6
однолетник, NOUN: 6
вкуснее, COMP: 6
жимолость, NOUN: 6
незаменимый, ADJF: 6
забираю, VERB: 6
рисунок, NOUN: 6
ост, NOUN: 6
агроном, NOUN: 6
отметить, INFN: 6
движение, NOUN: 6
масляный, ADJF: 6
хлеб, NOUN: 6
засохший, PRTF: 6
формировать, INFN: 6
заодно, ADVB: 6
кашпо, NOUN: 6
муха, NOUN: 6
спасаюсь, VERB: 6
выпускать, INFN: 6
вт, NOUN: 6
плодожорка, NOUN: 6
прозрачный, ADJF: 6
оставляя, GRND: 6
жуть, NOUN: 6
севооборот, NOUN: 6
электроника, NOUN: 6
направляю, VERB: 6
головка, NOUN: 6
дельфиниум, NOUN: 6
настроить, INFN: 6
восточный, ADJF: 6
экспериментирую, VERB: 6
бальзамин, NOUN: 6
богатый, ADJF: 6
поискал, VERB: 6
контроллер, NOUN: 6
берет, NOUN: 6
храниться, INFN: 6
лук, NOUN: 6
болячка, NOUN: 6
производство, NOUN: 6
базар, NOUN: 6
тигровый, ADJF: 6
бытовой, ADJF: 6
явление, NOUN: 6
живучий, ADJF: 6
отсутствую, VERB: 6
напоминаю, VERB: 6
окультуренный, PRTF: 6
глубже, COMP: 6
рыхлить, INFN: 6
лечение, NOUN: 6
поголовье, NOUN: 6
прикопать, INFN: 6
смешать, INFN: 6
вставить, INFN: 6
улучшить, INFN: 6
разряд, NOUN: 6
вывожусь, VERB: 6
плоский, ADJF: 6
заболел, VERB: 6
гуляю, VERB: 6
уберечь, INFN: 6
мужчина, NOUN: 6
великолепный, ADJF: 6
цветовод, NOUN: 6
таскать, INFN: 6
делиться, INFN: 6
уверяю, VERB: 6
водонагреватель, NOUN: 6
тяга, NOUN: 6
растаял, VERB: 6
проволока, NOUN: 6
макуха, NOUN: 6
наружу, ADVB: 6
крепление, NOUN: 6
сан, NOUN: 6
прививаю, VERB: 6
медитация, NOUN: 6
коллега, NOUN: 6
удаление, NOUN: 6
помета, NOUN: 6
виноградный, ADJF: 6
складываю, VERB: 6
нету, PRED: 6
стальной, ADJF: 6
сруб, NOUN: 5
омолаживающий, PRTF: 5
съедобный, ADJF: 5
отечественный, ADJF: 5
сгниваю, VERB: 5
разделить, INFN: 5
жизнедеятельность, NOUN: 5
курс, NOUN: 5
почистить, INFN: 5
выделение, NOUN: 5
включить, INFN: 5
фруктовый, ADJF: 5
крохотный, ADJF: 5
книжка, NOUN: 5
вырезаю, VERB: 5
впечатление, NOUN: 5
потребность, NOUN: 5
отсутствие, NOUN: 5
присутствие, NOUN: 5
справиться, INFN: 5
золотистый, ADJF: 5
пускаю, VERB: 5
обустройство, NOUN: 5
сливной, ADJF: 5
навсегда, ADVB: 5
ставлюсь, VERB: 5
поехал, VERB: 5
потепление, NOUN: 5
замечаю, VERB: 5
отцвёл, VERB: 5
дисплей, NOUN: 5
засыхаю, VERB: 5
превратился, VERB: 5
чистота, NOUN: 5
полистирол, NOUN: 5
пестицид, NOUN: 5
воздуходувка, NOUN: 5
возня, NOUN: 5
черенкование, NOUN: 5
селекционер, NOUN: 5
пос, NOUN: 5
застраховать, INFN: 5
познакомиться, INFN: 5
рюмка, NOUN: 5
привести, INFN: 5
сауна, NOUN: 5
офис, NOUN: 5
фирменный, ADJF: 5
мешковина, NOUN: 5
поискать, INFN: 5
ячмень, NOUN: 5
протираю, VERB: 5
каприз, NOUN: 5
живность, NOUN: 5
воняю, VERB: 5
экспериментировать, INFN: 5
лечу, VERB: 5
вероятность, NOUN: 5
замазывать, INFN: 5
употребление, NOUN: 5
органика, NOUN: 5
раскидистый, ADJF: 5
пункт, NOUN: 5
гранула, NOUN: 5
утепление, NOUN: 5
маркер, NOUN: 5
следовательно, CONJ: 5
маломощный, ADJF: 5
заставил, VERB: 5
уезжаю, VERB: 5
настой, NOUN: 5
замороженный, PRTF: 5
пятнистость, NOUN: 5
дата, NOUN: 5
испарение, NOUN: 5
знакомство, NOUN: 5
соблюдение, NOUN: 5
фасад, NOUN: 5
вкопал, VERB: 5
видимость, NOUN: 5
забота, NOUN: 5
физический, ADJF: 5
премикс, NOUN: 5
управляться, INFN: 5
впитываю, VERB: 5
стресс, NOUN: 5
вымахал, VERB: 5
опасность, NOUN: 5
говорить, INFN: 5
среднеспелый, ADJF: 5
точный, ADJF: 5
возникнуть, INFN: 5
ягодный, ADJF: 5
подержать, INFN: 5
жнея, NOUN: 5
чемпион, NOUN: 5
хлопоты, NOUN: 5
нагар, NOUN: 5
вспахать, INFN: 5
память, NOUN: 5
доступный, ADJF: 5
сдох, VERB: 5
мальва, NOUN: 5
индейка, NOUN: 5
морозостойкость, NOUN: 5
гулять, INFN: 5
столб, NOUN: 5
доза, NOUN: 5
освящение, NOUN: 5
лесной, ADJF: 5
вешу, VERB: 5
стою, VERB: 5
попытаться, INFN: 5
вызываю, VERB: 5
сварить, INFN: 5
отработал, VERB: 5
рассчитан, PRTS: 5
просушка, NOUN: 5
сибирь, NOUN: 5
удалил, VERB: 5
терморегулятор, NOUN: 5
вернулся, VERB: 5
картон, NOUN: 5
михаил, NOUN: 5
зрение, NOUN: 5
оцинкованный, PRTF: 5
резкий, ADJF: 5
подруга, NOUN: 5
высеваю, VERB: 5
формирую, VERB: 5
проверил, VERB: 5
овца, NOUN: 5
земледелец, NOUN: 5
распустившийся, PRTF: 5
операция, NOUN: 5
взвесил, VERB: 5
кедр, NOUN: 5
возвратный, ADJF: 5
консультация, NOUN: 5
характер, NOUN: 5
аптека, NOUN: 5
промышленный, ADJF: 5
свинья, NOUN: 5
попадаюсь, VERB: 5
гнусь, VERB: 5
мыльный, ADJF: 5
плодоносящий, PRTF: 5
пользователь, NOUN: 5
равный, ADJF: 5
тоненький, ADJF: 5
выписал, VERB: 5
таскаю, VERB: 5
грибной, ADJF: 5
скручиваться, INFN: 5
повторился, VERB: 5
перезимовать, INFN: 5
прореживаю, VERB: 5
воздушный, ADJF: 5
беда, NOUN: 5
супермаркет, NOUN: 5
этакий, ADJF: 5
увеличиваюсь, VERB: 5
мельче, COMP: 5
смартфон, NOUN: 5
косилка, NOUN: 5
купена, NOUN: 5
интенсивность, NOUN: 5
обрызгиваю, VERB: 5
забывать, INFN: 5
эффективность, NOUN: 5
маньчжурский, ADJF: 5
целинный, ADJF: 5
крапива, NOUN: 5
пасынок, NOUN: 5
огонь, NOUN: 5
загородный, ADJF: 5
кохия, NOUN: 5
интенсивный, ADJF: 5
обнаружил, VERB: 5
линия, NOUN: 5
насадка, NOUN: 5
недостаточный, ADJF: 5
комплект, NOUN: 5
сказываюсь, VERB: 5
минусовый, ADJF: 5
портал, NOUN: 5
кресло, NOUN: 5
ранее, ADVB: 5
настояться, INFN: 5
хватаю, VERB: 5
читатель, NOUN: 5
запомнил, VERB: 5
отразился, VERB: 5
иммунитет, NOUN: 5
понравившийся, PRTF: 5
продал, VERB: 5
перенести, INFN: 5
кувшинка, NOUN: 5
обладатель, NOUN: 5
служить, INFN: 5
окупаемость, NOUN: 5
определил, VERB: 5
коммуникация, NOUN: 5
еловый, ADJF: 5
прикрываю, VERB: 5
крымск, NOUN: 5
жалею, VERB: 5
вяленый, ADJF: 5
молибден, NOUN: 5
обеспечивать, INFN: 5
теплоизоляция, NOUN: 5
кофейный, ADJF: 5
поговорил, VERB: 5
противный, ADJF: 5
зубчик, NOUN: 5
возвращаюсь, VERB: 5
осеменение, NOUN: 5
достаточный, ADJF: 5
распространение, NOUN: 5
выращиваюсь, VERB: 5
вылечить, INFN: 5
вреден, ADJS: 5
удобство, NOUN: 5
птичий, ADJF: 5
ощущение, NOUN: 5
превращаюсь, VERB: 5
молодняк, NOUN: 5
разочарован, PRTS: 5
ходить, INFN: 5
варить, INFN: 5
начался, VERB: 5
наступаю, VERB: 5
укрыл, VERB: 5
горло, NOUN: 5
мотор, NOUN: 5
прямой, ADJF: 5
шар, NOUN: 5
поставщик, NOUN: 5
сеянец, NOUN: 5
плита, NOUN: 5
колонна, NOUN: 5
нарост, NOUN: 5
автомобильный, ADJF: 5
чей, ADJF: 5
приз, NOUN: 5
рекламный, ADJF: 5
люпин, NOUN: 5
наполовину, ADVB: 5
конвектор, NOUN: 5
своевременный, ADJF: 5
дотянулся, VERB: 5
потолок, NOUN: 5
грабельки, NOUN: 5
квт, NOUN: 5
сформировался, VERB: 5
картофелина, NOUN: 5
плодоножка, NOUN: 5
косточковый, ADJF: 5
справочник, NOUN: 5
прелесть, NOUN: 5
хитрость, NOUN: 5
товар, NOUN: 5
гибель, NOUN: 5
бишь, PRCL: 5
процедура, NOUN: 5
золотой, ADJF: 5
спасаю, VERB: 5
понимать, INFN: 5
терять, INFN: 5
зимовка, NOUN: 5
сапка, NOUN: 5
колокольчик, NOUN: 5
пульт, NOUN: 5
топлю, VERB: 5
малина, NOUN: 5
яичный, ADJF: 5
удивление, NOUN: 5
удивил, VERB: 5
испортить, INFN: 5
повторяюсь, VERB: 5
подождать, INFN: 5
закладываю, VERB: 5
различаюсь, VERB: 5
шоколадный, ADJF: 5
столь, ADVB: 5
произвожу, VERB: 5
сибирский, ADJF: 5
обновлять, INFN: 5
окучивание, NOUN: 5
врежу, VERB: 5
двухлетний, ADJF: 5
ввод, NOUN: 5
своеобразный, ADJF: 5
переизбыток, NOUN: 5
веда, NOUN: 5
обогреватель, NOUN: 5
волнуюсь, VERB: 5
свекровь, NOUN: 5
дверца, NOUN: 5
прореживать, INFN: 5
бесполезный, ADJF: 5
горячий, ADJF: 5
кишу, VERB: 5
днепропетровск, NOUN: 5
заняться, INFN: 5
поспел, VERB: 5
отрицательный, ADJF: 5
животноводство, NOUN: 5
картина, NOUN: 5
рябина, NOUN: 5
сосновый, ADJF: 5
невысокий, ADJF: 5
порезать, INFN: 5
нектарин, NOUN: 5
савойский, ADJF: 5
прилагаю, VERB: 5
неприятность, NOUN: 5
климатический, ADJF: 5
разработка, NOUN: 5
крабовый, ADJF: 5
аккуратный, ADJF: 5
счастливый, ADJF: 5
урал, NOUN: 5
липа, NOUN: 5
кеш, NOUN: 5
решаюсь, VERB: 5
тройка, NOUN: 5
бегать, INFN: 5
разноцветный, ADJF: 5
изменился, VERB: 5
переживать, INFN: 5
грызу, VERB: 5
дыня, NOUN: 5
противень, NOUN: 5
минералка, NOUN: 5
тазик, NOUN: 5
пересыхаю, VERB: 5
нагрузка, NOUN: 5
температурный, ADJF: 5
предок, NOUN: 5
бузина, NOUN: 5
двухгодичный, ADJF: 5
фильм, NOUN: 5
невесть, PRCL: 5
банька, NOUN: 5
охрана, NOUN: 5
максимальный, ADJF: 5
тронулся, VERB: 5
окончание, NOUN: 5
норматив, NOUN: 5
прорастание, NOUN: 5
попросил, VERB: 5
ожог, NOUN: 5
кефир, NOUN: 5
несушка, NOUN: 5
поездка, NOUN: 5
цыплёночек, NOUN: 5
увеличиваю, VERB: 5
пояс, NOUN: 5
колышек, NOUN: 5
интересуюсь, VERB: 5
гнилой, ADJF: 5
потратил, VERB: 5
вспашка, NOUN: 5
болгарка, NOUN: 5
бесплатный, ADJF: 5
фекалия, NOUN: 5
аппетит, NOUN: 5
недостача, NOUN: 5
регулироваться, INFN: 5
делить, INFN: 5
покупая, GRND: 5
колебание, NOUN: 5
лапник, NOUN: 5
исчез, VERB: 5
шпагат, NOUN: 5
повышаю, VERB: 5
просматриваю, VERB: 5
сообщил, VERB: 5
покрышка, NOUN: 5
открывать, INFN: 5
веранда, NOUN: 5
раннеспелый, ADJF: 5
произошёл, VERB: 5
ковёр, NOUN: 5
адрес, NOUN: 5
подкладываю, VERB: 5
наблюдаю, VERB: 5
просох, VERB: 5
го, NOUN: 5
неудобный, ADJF: 5
пускать, INFN: 5
капля, NOUN: 5
кирпичный, ADJF: 5
еда, NOUN: 5
сметана, NOUN: 5
морозный, ADJF: 5
доступен, ADJS: 5
зацвести, INFN: 4
сульфат, NOUN: 4
узкий, ADJF: 4
дождаться, INFN: 4
хряк, NOUN: 4
здание, NOUN: 4
поролон, NOUN: 4
воробей, NOUN: 4
пробил, VERB: 4
виден, ADJS: 4
подвязываю, VERB: 4
морской, ADJF: 4
удерживаю, VERB: 4
приведение, NOUN: 4
увеличил, VERB: 4
атмосфера, NOUN: 4
спасать, INFN: 4
снежный, ADJF: 4
грамм, NOUN: 4
режу, VERB: 4
завтра, ADVB: 4
рассказываю, VERB: 4
микрофлора, NOUN: 4
заболеть, INFN: 4
защитный, ADJF: 4
радовать, INFN: 4
прикрепил, VERB: 4
штрипка, NOUN: 4
годичный, ADJF: 4
медленный, ADJF: 4
отозвался, VERB: 4
углубление, NOUN: 4
выпадаю, VERB: 4
мускусный, ADJF: 4
безопаснее, COMP: 4
подрезка, NOUN: 4
электронный, ADJF: 4
бордоский, ADJF: 4
подделка, NOUN: 4
подгнивший, PRTF: 4
слыхаю, VERB: 4
подснежник, NOUN: 4
выставляю, VERB: 4
ножницы, NOUN: 4
порезал, VERB: 4
убить, INFN: 4
отопительный, ADJF: 4
контроль, NOUN: 4
приствольный, ADJF: 4
спец, NOUN: 4
заметный, ADJF: 4
невелик, ADJS: 4
бегония, NOUN: 4
смешал, VERB: 4
получиться, INFN: 4
топинамбур, NOUN: 4
выше, COMP: 4
надеть, INFN: 4
популярен, ADJS: 4
почистил, VERB: 4
культивирую, VERB: 4
будка, NOUN: 4
приобретаю, VERB: 4
отрезал, VERB: 4
спорить, INFN: 4
впитываюсь, VERB: 4
кессон, NOUN: 4
ограничивать, INFN: 4
сорвал, VERB: 4
сложился, VERB: 4
целость, NOUN: 4
перекопал, VERB: 4
разбежался, VERB: 4
доломитовый, ADJF: 4
показан, PRTS: 4
помаленьку, ADVB: 4
облегчить, INFN: 4
администрация, NOUN: 4
прививать, INFN: 4
прыскать, INFN: 4
вложил, VERB: 4
дарья, NOUN: 4
распространён, PRTS: 4
увлажнение, NOUN: 4
выставка, NOUN: 4
вина, NOUN: 4
порекомендовать, INFN: 4
сажусь, VERB: 4
выписываю, VERB: 4
перечень, NOUN: 4
глазок, NOUN: 4
постарался, VERB: 4
светодиод, NOUN: 4
вентиляционный, ADJF: 4
подозреваю, VERB: 4
ворую, VERB: 4
белоруссия, NOUN: 4
бурятия, NOUN: 4
изумительный, ADJF: 4
переувлажнение, NOUN: 4
внекорневой, ADJF: 4
растущий, PRTF: 4
развести, INFN: 4
предполагаю, VERB: 4
мальчиковый, ADJF: 4
потихоньку, ADVB: 4
самостоятельный, ADJF: 4
происходить, INFN: 4
наблюдаюсь, VERB: 4
рассыпаю, VERB: 4
питаться, INFN: 4
чайник, NOUN: 4
ключ, NOUN: 4
ловить, INFN: 4
подполье, NOUN: 4
поливаюсь, VERB: 4
микроудобрение, NOUN: 4
прочитать, INFN: 4
выливаю, VERB: 4
складываюсь, VERB: 4
белокочанный, ADJF: 4
улучшаю, VERB: 4
пустырь, NOUN: 4
совпадаю, VERB: 4
разъяснение, NOUN: 4
умираю, VERB: 4
вскоре, ADVB: 4
трачу, VERB: 4
пинцет, NOUN: 4
стволик, NOUN: 4
оказываю, VERB: 4
поменять, INFN: 4
ла, PRCL: 4
открыть, INFN: 4
поменял, VERB: 4
берусь, VERB: 4
рассадил, VERB: 4
война, NOUN: 4
плуг, NOUN: 4
ночной, ADJF: 4
нагреватель, NOUN: 4
борозда, NOUN: 4
отделка, NOUN: 4
вьюнок, NOUN: 4
товарный, ADJF: 4
грибок, NOUN: 4
пауза, NOUN: 4
приложить, INFN: 4
пульверизатор, NOUN: 4
званый, ADJF: 4
натереть, INFN: 4
квас, NOUN: 4
перерыв, NOUN: 4
определился, VERB: 4
продезинфицировать, INFN: 4
задний, ADJF: 4
нести, INFN: 4
пристроить, INFN: 4
помощница, NOUN: 4
кальциевый, ADJF: 4
накупил, VERB: 4
уверенность, NOUN: 4
закапываю, VERB: 4
плодородность, NOUN: 4
курчавость, NOUN: 4
игорь, NOUN: 4
шов, NOUN: 4
влияние, NOUN: 4
вакцинация, NOUN: 4
паутина, NOUN: 4
экологически, ADVB: 4
попугай, NOUN: 4
самосев, NOUN: 4
описан, PRTS: 4
степной, ADJF: 4
одиночный, ADJF: 4
ближайший, ADJF: 4
морозилка, NOUN: 4
автономный, ADJF: 4
вкуснятина, NOUN: 4
копейка, NOUN: 4
реагирую, VERB: 4
эко, NOUN: 4
животноводческий, ADJF: 4
дренажный, ADJF: 4
полиэтилен, NOUN: 4
плацдарм, NOUN: 4
разделил, VERB: 4
связан, PRTS: 4
водичка, NOUN: 4
ночевать, INFN: 4
склон, NOUN: 4
жир, NOUN: 4
подкормил, VERB: 4
актинидия, NOUN: 4
потребляю, VERB: 4
уложить, INFN: 4
рассмотрел, VERB: 4
оставаться, INFN: 4
принялся, VERB: 4
классный, ADJF: 4
кроль, NOUN: 4
шток, NOUN: 4
реализация, NOUN: 4
калийный, ADJF: 4
перерождаюсь, VERB: 4
собрат, NOUN: 4
кожица, NOUN: 4
утащил, VERB: 4
латинский, ADJF: 4
порция, NOUN: 4
подмерзаю, VERB: 4
стоять, INFN: 4
бутылочка, NOUN: 4
понижение, NOUN: 4
приемлемый, ADJF: 4
ель, NOUN: 4
гиацинт, NOUN: 4
телёнок, NOUN: 4
брат, NOUN: 4
шампиньон, NOUN: 4
консервный, ADJF: 4
столица, NOUN: 4
спрятать, INFN: 4
спасение, NOUN: 4
уважение, NOUN: 4
обслуживание, NOUN: 4
широта, NOUN: 4
тачка, NOUN: 4
встретился, VERB: 4
внешний, ADJF: 4
гниль, NOUN: 4
водопад, NOUN: 4
козий, ADJF: 4
тепло, NOUN: 4
шаровидный, ADJF: 4
ежегодный, ADJF: 4
трачусь, VERB: 4
приглянулся, VERB: 4
каскад, NOUN: 4
важнее, COMP: 4
осмотрел, VERB: 4
повредил, VERB: 4
протирать, INFN: 4
некий, ADJF: 4
импорт, NOUN: 4
двойной, ADJF: 4
праздничный, ADJF: 4
просушивать, INFN: 4
вред, NOUN: 4
пророс, VERB: 4
задумался, VERB: 4
деликатес, NOUN: 4
разделение, NOUN: 4
скосил, VERB: 4
волокно, NOUN: 4
проволочник, NOUN: 4
нигде, ADVB: 4
гортензия, NOUN: 4
ужас, NOUN: 4
ох, INTJ: 4
подлечил, VERB: 4
дочь, NOUN: 4
заброшенный, PRTF: 4
смазываю, VERB: 4
балка, NOUN: 4
плошка, NOUN: 4
болото, NOUN: 4
изучаю, VERB: 4
мешочек, NOUN: 4
щенок, NOUN: 4
усиление, NOUN: 4
предположение, NOUN: 4
мясорубка, NOUN: 4
продаюсь, VERB: 4
заканчиваюсь, VERB: 4
прилегающий, PRTF: 4
беларусь, NOUN: 4
летник, NOUN: 4
рулончик, NOUN: 4
класть, INFN: 4
сохранять, INFN: 4
версия, NOUN: 4
сжигать, INFN: 4
долька, NOUN: 4
казино, NOUN: 4
слаще, COMP: 4
король, NOUN: 4
инфракрасный, ADJF: 4
воспользоваться, INFN: 4
топка, NOUN: 4
бордосский, ADJF: 4
тело, NOUN: 4
гибридный, ADJF: 4
брусника, NOUN: 4
сегодняшний, ADJF: 4
родственник, NOUN: 4
беспокоюсь, VERB: 4
опорос, NOUN: 4
разочарование, NOUN: 4
цикл, NOUN: 4
сточный, ADJF: 4
гусёнок, NOUN: 4
обвязка, NOUN: 4
подвязывать, INFN: 4
список, NOUN: 4
ожидание, NOUN: 4
бюджетный, ADJF: 4
серия, NOUN: 4
зарабатывать, INFN: 4
окрас, NOUN: 4
промораживание, NOUN: 4
шуруп, NOUN: 4
похолодал, VERB: 4
отключение, NOUN: 4
считая, GRND: 4
отцветаю, VERB: 4
розочка, NOUN: 4
лестница, NOUN: 4
догадался, VERB: 4
сохранность, NOUN: 4
перемешиваю, VERB: 4
нитрат, NOUN: 4
делю, VERB: 4
сохранил, VERB: 4
нарушаю, VERB: 4
зерновой, ADJF: 4
леечка, NOUN: 4
неровный, ADJF: 4
резиновый, ADJF: 4
миф, NOUN: 4
охота, NOUN: 4
ядро, NOUN: 4
решать, INFN: 4
сало, NOUN: 4
заяц, NOUN: 4
подробность, NOUN: 4
лежать, INFN: 4
черта, NOUN: 4
беспроигрышный, ADJF: 4
жирный, ADJF: 4
обмотать, INFN: 4
достиг, VERB: 4
творюсь, VERB: 4
сварка, NOUN: 4
вызреть, INFN: 4
расцветаю, VERB: 4
пустил, VERB: 4
затратный, ADJF: 4
плов, NOUN: 4
семейство, NOUN: 4
майонез, NOUN: 4
всевозможный, ADJF: 4
водоплавающий, ADJF: 4
красив, ADJS: 4
шашлычок, NOUN: 4
фитинг, NOUN: 4
проектирование, NOUN: 4
обрызгивание, NOUN: 4
свечу, VERB: 4
ориентируюсь, VERB: 4
пользуясь, GRND: 4
практичнее, COMP: 4
бетонный, ADJF: 4
выращивая, GRND: 4
инжир, NOUN: 4
хилый, ADJF: 4
стриж, NOUN: 4
отдыхать, INFN: 4
заделываю, VERB: 4
установил, VERB: 4
проращивание, NOUN: 4
металл, NOUN: 4
регулировать, INFN: 4
добился, VERB: 4
коробка, NOUN: 4
прихотлив, ADJS: 4
неделька, NOUN: 4
очередной, ADJF: 4
скачать, INFN: 4
общество, NOUN: 4
класс, NOUN: 4
предстою, VERB: 4
сообщество, NOUN: 4
забиваю, VERB: 4
биологически, ADVB: 4
дополнение, NOUN: 4
надолго, ADVB: 4
суспензия, NOUN: 4
спею, VERB: 4
пообщаться, INFN: 4
сгнил, VERB: 4
допускаюсь, VERB: 4
известен, ADJS: 4
бревно, NOUN: 4
электросушилка, NOUN: 4
перебираю, VERB: 4
закупка, NOUN: 4
отключить, INFN: 4
ограничить, INFN: 4
жалуюсь, VERB: 4
подспорье, NOUN: 4
скопление, NOUN: 4
поддерживать, INFN: 4
сахар, NOUN: 4
поинтересоваться, INFN: 4
выращиваемый, PRTF: 4
краса, NOUN: 4
величина, NOUN: 4
представление, NOUN: 4
прикладывать, INFN: 4
человеческий, ADJF: 4
парафин, NOUN: 4
великий, ADJF: 4
средина, NOUN: 4
разнообразить, INFN: 4
воля, NOUN: 4
завязываюсь, VERB: 4
знаком, ADJS: 4
удобен, ADJS: 4
банан, NOUN: 4
массовый, ADJF: 4
хурма, NOUN: 4
квадратный, ADJF: 4
сумма, NOUN: 4
лопаточка, NOUN: 4
инсектицид, NOUN: 4
хлопотный, ADJF: 4
ребро, NOUN: 4
корм, NOUN: 4
зуб, NOUN: 4
удлинитель, NOUN: 4
восторг, NOUN: 4
сбалансирован, PRTS: 4
пища, NOUN: 4
картофелесажалка, NOUN: 4
шпалера, NOUN: 4
подсобный, ADJF: 4
местечко, NOUN: 4
стратификация, NOUN: 4
прочитав, GRND: 4
знаток, NOUN: 4
покрыть, INFN: 4
подгниваю, VERB: 4
тротуар, NOUN: 4
затопил, VERB: 4
оливковый, ADJF: 4
воздействие, NOUN: 4
дымить, INFN: 4
сохраняюсь, VERB: 4
формат, NOUN: 4
коврик, NOUN: 4
аппарат, NOUN: 4
обломанный, PRTF: 4
отбираю, VERB: 4
опрыскать, INFN: 4
хозяйка, NOUN: 4
заворачиваю, VERB: 4
утёнок, NOUN: 4
предложил, VERB: 4
желтеть, INFN: 4
открылся, VERB: 4
натянуть, INFN: 4
соломенный, ADJF: 4
отдел, NOUN: 4
подъезд, NOUN: 4
смазать, INFN: 4
экономлю, VERB: 4
ращу, VERB: 4
букет, NOUN: 4
сантиметровый, ADJF: 4
свиноматка, NOUN: 4
добираться, INFN: 4
тв, NOUN: 4
позволить, INFN: 4
объективный, ADJF: 4
нагреваться, INFN: 4
уничтожать, INFN: 4
повысить, INFN: 4
фацелия, NOUN: 4
вытаскиваю, VERB: 4
окреп, VERB: 4
молоденький, ADJF: 4
состыковываю, VERB: 4
мариную, VERB: 4
личный, ADJF: 4
читать, INFN: 4
разделяю, VERB: 4
туя, NOUN: 4
рискнул, VERB: 4
настроение, NOUN: 4
программа, NOUN: 4
морозец, NOUN: 4
ресурс, NOUN: 4
прижат, PRTS: 4
отпал, VERB: 4
вырываю, VERB: 4
минск, NOUN: 4
полез, VERB: 4
газонный, ADJF: 4
пренебрегать, INFN: 4
бумажный, ADJF: 4
сотня, NOUN: 4
устанавливать, INFN: 4
применяюсь, VERB: 4
отделить, INFN: 4
дед, NOUN: 4
экологический, ADJF: 4
комок, NOUN: 4
пить, INFN: 4
высиживаю, VERB: 4
предположить, INFN: 4
сказка, NOUN: 4
нулевой, ADJF: 4
кольцо, NOUN: 4
альпийский, ADJF: 4
ложка, NOUN: 4
симпатичный, ADJF: 4
биопрепарат, NOUN: 4
увядать, INFN: 4
повреждаюсь, VERB: 4
включился, VERB: 4
просушить, INFN: 4
способность, NOUN: 4
покрытый, PRTF: 4
теория, NOUN: 4
земельный, ADJF: 4
сочетание, NOUN: 4
злаковый, ADJF: 4
обращаюсь, VERB: 4
помидорный, ADJF: 4
прогреваюсь, VERB: 4
голубика, NOUN: 4
пролил, VERB: 4
подложка, NOUN: 4
сквозняк, NOUN: 4
доверяю, VERB: 4
выгул, NOUN: 4
регистрация, NOUN: 4
детка, NOUN: 4
накопление, NOUN: 4
жертвоприношение, NOUN: 4
дюйм, NOUN: 4
поступаю, VERB: 4
показался, VERB: 4
разложил, VERB: 4
немаловажен, ADJS: 4
повторяю, VERB: 4
хлористый, ADJF: 4
пашу, VERB: 4
радуюсь, VERB: 4
некого, NPRO: 4
симпатия, NOUN: 4
присыпаю, VERB: 4
навык, NOUN: 4
спелый, ADJF: 4
белю, VERB: 4
тяну, VERB: 4
замульчировать, INFN: 4
стеллаж, NOUN: 4
арбалет, NOUN: 4
восемь, NUMR: 4
тимьян, NOUN: 4
миндаль, NOUN: 4
редкость, NOUN: 4
ингредиент, NOUN: 4
закладка, NOUN: 4
поздний, ADJF: 4
бытовка, NOUN: 4
шершень, NOUN: 4
нагрев, NOUN: 4
актуален, ADJS: 4
ткемали, NOUN: 4
кочерыжка, NOUN: 4
мода, NOUN: 4
популярность, NOUN: 4
жительство, NOUN: 4
отрезаю, VERB: 4
отсек, NOUN: 4
укоренение, NOUN: 4
разводка, NOUN: 4
топить, INFN: 4
заметен, ADJS: 4
молоко, NOUN: 4
холодостойкий, ADJF: 4
описал, VERB: 4
комфортный, ADJF: 4
рассыпчатый, ADJF: 4
запросто, ADVB: 4
промываю, VERB: 4
обжаренный, PRTF: 4
корка, NOUN: 4
хутор, NOUN: 4
наверху, ADVB: 4
срывать, INFN: 4
благоприятный, ADJF: 4
заросль, NOUN: 3
декор, NOUN: 3
рассматривать, INFN: 3
дедовский, ADJF: 3
водоносный, ADJF: 3
наполнение, NOUN: 3
позеленел, VERB: 3
месячный, ADJF: 3
голландия, NOUN: 3
обламывать, INFN: 3
киев, NOUN: 3
распускаю, VERB: 3
различие, NOUN: 3
инженерный, ADJF: 3
практикую, VERB: 3
застой, NOUN: 3
чахнуть, INFN: 3
высушил, VERB: 3
обработанный, PRTF: 3
болен, ADJS: 3
адекватный, ADJF: 3
подъезжаю, VERB: 3
напомнил, VERB: 3
сюрприз, NOUN: 3
дышу, VERB: 3
бочка, NOUN: 3
заставлен, PRTS: 3
прикольный, ADJF: 3
оболочка, NOUN: 3
сухой, ADJF: 3
примерный, ADJF: 3
обалденный, ADJF: 3
девочка, NOUN: 3
двигаюсь, VERB: 3
